Word,Count
the,227
to,212
*,186
is,98
a,87
Function,83
of,76
for,68
=,66
if,64
in,53
it,49
,47
and,47
function,46
project,44
dropdown,42
get,42
by,39
Get,39
item,38
from,36
{,33
new,33
we,33
be,31
when,30
check,30
tagging,30
string,30
on,30
selected,29
value,28
element,28
reset,28
See,27
-,27
If,27
all,26
model,25
update,24
edit,24
user,23
original,23
not,22
as,21
here,21
table,20
an,20
search,20
array,20
that,20
},20
list,19
tab,19
or,19
basic,18
so,18
its,18
input,18
handle,18
items,18
this,17
message,17
Check,17
timeline,17
Define,17
tag,16
number,16
directive,16
create,16
will,16
with,16
instead,16
var,15
already,15
Todo,15
DOM,14
focus,14
has,14
To,14
mode,14
case,13
link,13
have,13
use,13
time,13
into,13
log,13
there,13
false,12
Set,12
scope,12
change,12
category,12
backing,12
reward,12
startwith,12
'http',12
select,12
form,11
set,11
chart,11
comment,11
===,11
first,11
only,11
story,11
reference,11
been,10
project's,10
field,10
+,10
Remove,10
return,10
collection,10
status,10
delete,10
\(key,value)\,10
event,10
attribute,10
boolean,10
make,10
multiple,9
});,9
changes,9
updateLog,9
In,9
otherwise,9
request,9
single,9
Select,9
force,9
re-set,9
Add,9
object,9
remove,9
data,9
show,9
using,9
Edit,9
Read,9
debugger;,8
'Lỗi!');,8
undefined,8
choices,8
From,8
Save,8
used,8
admin,8
jqLite,8
file,8
When,8
view,8
loading,8
$eval(),8
don't,8
sure,8
before,8
Project,8
question,8
Initialized,8
-->,8
ngModel,8
ui-select,8
$rootScope,8
The,8
\toastr.error($scope.Error,\,8
inside,8
MaiCTP,8
width,8
dirty,8
syntax,8
any,8
one,8
TODO,8
Switch,7
ProjectCode,7
support,7
at,7
out,7
top,7
point,7
early,7
QA,7
$scope.Error,7
needed,7
add,7
OR,7
does,7
information,7
0,7
Put,7
Categories,7
Change,6
current,6
position,6
should,6
some,6
removed,6
Gets,6
Make,6
Move,6
requests,6
true,6
Give,6
statistic,6
\"\Project's\,6
possible,6
doesn't,6
else,6
store,6
ger,6
found,6
Taken,6
clicks,6
service,6
Go,6
bar,6
can,6
rewardPkg,6
existing,6
convert,6
THE,6
e.stopImmediatePropagation();,6
'multiple',6
target,6
match,6
$scope.ListSlides[index,6
Delete,6
direction,6
MIT,6
taggingLabel,6
ProjectID,6
option,6
always,5
certain,5
Show,5
previous,5
but,5
AngularJS,5
User,5
source,5
(result),5
loop,5
recent,5
rewardPkgs,5
Copy,5
text,5
1,5
info,5
Update,5
initial,5
Discard,5
empty,5
null,5
want,5
License:,5
back,5
Submit,5
2,4
previous/first,4
authen,4
split,4
Config,4
location,4
Overwrite,4
avoid,4
until,4
Functions,4
may,4
external,4
Bootstrap,4
\iteration,\,4
reinitial,4
\"\error"\);\,4
Configure,4
uisTranscludeAppend,4
angular,4
prev,4
..,4
dupes,4
matches,4
name,4
$select.selected,4
textarea,4
(result.data.Status,4
pass,4
datetime,4
AngularUI,4
Properly,4
submit,4
take,4
sync,4
result.data.Data;,4
ngRepeat,4
};,4
$select.search,4
visible,4
Support,4
val,4
options,4
date,4
(ui-select),4
Input,4
{street:,4
Typeahead,4
type,4
\"\repeat"\\,4
mirror,4
Force,4
$search,4
do,4
correct,4
re-run,4
closed,4
Create,4
body,4
later,4
January,4
space,4
last,4
theme,4
between,4
test,4
keyboard,4
via,4
render,4
Array,4
Will,4
without,4
formatters,4
attr,4
increment,4
jqLite.find,4
OF,4
activeIndex,4
IE8,4
HTML5,4
uiSelect,4
(error),4
UP,4
Funtion,4
parent,4
adding,4
administrator,4
\:)"\,\,4
load,4
/,4
strip,4
available,4
slide,4
\"\success"\)\,4
responsive:,4
\},\,4
index,4
no,4
ctrl.search,4
call,4
ensure,4
Hold,4
Remember,4
charts,4
IN,4
//,4
comments,4
pushes,4
able,4
safe,4
elements,4
querySelectorAll,4
A,4
typeahead,4
nothing,4
series,4
correctly,4
data-attributes,4
verify,4
filter:,4
other,4
|,4
messages,3
these,3
browser,3
applied,3
Detech,3
them,3
