File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\AdminModule.js,433,368,179,26,25,1,40,124,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\HomeModule.js,582,524,285,52,34,1,24,86,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\BackedHistoryProjectController.js,55,42,29,2,11,0,2,4,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\BackedProjectController.js,9,5,5,0,4,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\BackingSuccessProjectController.js,12,7,6,1,4,0,1,3,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\BackProjectController.js,85,56,48,7,15,0,14,50,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\CreatedProjectController.js,43,33,35,1,10,1,0,2,0,2
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\CreateProjectController.js,79,64,46,5,10,0,5,17,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\DiscoverController.js,11,9,9,0,1,0,1,2,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\EditPasswordController.js,40,32,25,4,6,0,2,8,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\EditProfileController.js,69,52,40,5,12,0,5,20,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\EditProjectController.js,1431,1189,925,138,111,3,131,438,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\HomeController.js,29,23,21,3,4,0,2,7,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\ListBackerController.js,61,49,36,4,9,0,3,4,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\MessageController.js,273,236,169,27,24,0,13,45,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\MessageDetailController.js,108,95,64,10,7,0,6,24,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\PaymentProjectController.js,110,70,53,11,17,0,23,70,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\ProjectDetailController.js,370,330,234,37,23,2,17,70,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\PublicProfileController.js,114,100,58,10,10,0,4,17,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\RegisterController.js,29,24,18,3,3,0,2,9,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\ResetPwController.js,66,55,44,5,6,0,5,11,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\SearchBarController.js,50,44,38,6,6,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\SearchController.js,128,118,96,22,9,0,1,2,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\StarredProjectController.js,28,25,20,2,3,1,0,2,0,2
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\StatisticsController.js,87,73,46,7,13,0,1,2,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\admin\AdminBackingDetailController.js,9,6,4,0,2,0,1,3,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\admin\AdminBackingListController.js,82,68,36,4,11,0,3,9,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\admin\AdminCategoryController.js,154,133,83,10,15,0,6,16,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\admin\AdminDashboardController.js,333,282,182,26,31,1,20,66,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\admin\AdminMessageController.js,257,226,159,26,21,0,10,38,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\admin\AdminMessageDetailController.js,109,96,64,10,7,0,6,24,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\admin\AdminProjectDashboardController.js,45,17,8,0,8,0,20,58,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\admin\AdminProjectDetailController.js,171,145,107,12,15,0,11,47,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\admin\AdminProjectListController.js,43,16,7,0,8,0,19,55,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\admin\AdminReportProjectController.js,93,80,48,12,12,0,1,2,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\App\controllers\admin\AdminReportUserController.js,90,80,48,12,9,0,1,2,0,0
