Word,Count
/,157
Check,116
authen,77
GET:,52
user,46
role,40
<summary>,32
</summary>,32
<param,29
<returns></returns>,16
-,14
Get,13
PUT:,12
the,12
\name="\id"\></param>\,11
=,11
of,10
a,7
MaiCTP,7
all,5
Remove,5
POST:,5
cookie,5
cookies,5
index,4
name,4
conversation,4
is,4
image,4
<returns>HttpMessageDTO</returns>,4
Logout,4
current,4
value,4
Put:,3
var,3
Delete,3
users,3
number,3
ChangeCategoryStatus,3
list,3
<returns>CommentDTO</returns>,3
Add,3
Set,3
ConversationBasicDTO</returns>,3
<returns>List,3
get,3
Delete:,3
\name="\email"\></param>\,2
24/10/2015,2
needed,2
api/ProjectApi/EditProjectStory,2
+,2
access,2
just,2
For,2
(int,2
Session.Keys[index];,2
Save,2
18/10/2015,2
conversation</param>,2
index++),2
DB,2
\name="\status"\></param>\,2
logged,2
Session.Keys.Count;,2
simplicity,2
ChangeSlideStatus,2
max,2
other,2
Validation,2
api/SlideApi/GetSlidesForAdmin,2
from,2
for,2
use,2
message,2
{,2
sessionName,2
DDLConstants.FileType.AVATAR,2
<,2
token,2
password,2
Session[sessionName],2
as,2
content</param>,2
Int32's,2
Login,2
form,2
slide,2
},2
0;,2
AdminPartial/NotFound,2
new,2
ClientPartial,2
permissions,2
Change,2
link,2
null;,2
always,1
AdminPartial/ReportProject,1
Function,1
Reply,1
Locked,1
DeleteCategory,1
\name="\comment"\>CommentDTO</param>\,1
\name="\Id"\>identify\,1
unixtime,1
DeleteProjectReminded,1
on,1
api/ProjectApi/Comment?projectCode=xxx,1
we,1
17/10/2015,1
reset,1
EditSlide,1
\"\email,user_birthday,user_about_me,user_website,user_location"\\,1
21/10/2015,1
updateLog,1
facebook,1
SendCodeResetPassword,1
session,1
userExist.ProfileImage;,1
\name="\content"\></param>\,1
datetime,1
api/ProjectApi/GetCommentList?code=code,1
userExist.ProfileImage,1
api/ProjectApi/AdminGetProjectGeneralInfo/,1
<returns>MessageDTO</returns>,1
information,1
api/UserApi/AdminGetRecentBacking/,1
\name="\newUser"\></param>\,1
uploadImageName,1
api/ProjectApi/UpdateTimeline,1
\name="\projectCode"\>projectCode</param>\,1
\name="\reply"\>reply\,1
auth,1
identify,1
AdminPartial/BackingDetail,1
api/ProjectApi/CreateRewardPkg,1
api/ProjectApi/DeleteComment?id=,1
EditCategory,1
AdminPartial/ProjectList,1
AdminPartial/Dashboard,1
status,1
\name="\categoryid"\>categoryid</param>\,1
\name="\lastDateTime"\></param>\,1
api/ProjectApi/AdminGetProjectComment/:code,1
GetNumberNewMessage,1
action,1
\CommonUtils.UploadImage(file,\,1
read,1
api/ProjectApi/AdminGetProjectStatistic/:year,1
messages,1
api/ProjectApi/GetRewardPkg/:id,1
api/ProjectApi/AdminChangeProjectStatus/:id,1
<returns>Forgot,1
<returns>user,1
\imageName,\,1
api/SlideApi/Slides,1
scope,1
api/ProjectApi/GetBackProjectInfo/:code,1
\"\95b9b97174f94bbff3bdff437e520cc7"\,\,1
into,1
api/ProjectApi/GetBackingDetail/:id,1
<returns>Dictionary</returns>,1
api/ProjectApi/EditProject,1
AdminPartial/Slide,1
Api,1
api/ProjectApi/AdminGetBackProjectInfo/:id,1
api/ProjectApi/GetProjectStory/:id,1
received,1
You,1
BAckedProjectHistory,1
GetCategoryProjectCount,1
/api/UserApi/GetUserTop/?categoryID=xxx,1
info</returns>,1
*,1
api/ProjectApi/EditSingleUpdateLog,1
\"\412367302292593"\,\,1
userCurrent.ProfileImage,1
login,1
CreatedProject,1
AdminPartial/Category,1
DeleteProjectDraft,1
section,1
\name="\id"\>Identify\,1
api/ProjectApi/EditUpdateLog,1
19/10/2015,1
<returns>ConversationDetailDTO</returns>,1
api/ProjectApi/GetUpdateLogList?code=code,1
ClientPartial/PublicProfile,1
<returns>ConversationBasicDTO</returns>,1
conversations</param>,1
api/ProjectApi/GetRewardPkgByCode/:code,1
api/ProjectApi/AdminGetProjectList/,1
api/CategoryApi/GetCategories,1
make,1
\name="\id"\>updateLogID</param>\,1
\name="\idList"\>list\,1
view</returns>,1
api/ProjectApi/BackProject,1
api/ProjectApi/EditComment?id=&content=,1
mentioned,1
BAckedProject,1
ForgotPassword,1
api/ProjectApi/CreateQuestion,1
AddNewCategory,1
Convert,1
Inital,1
above,1
api/ProjectApi/CreateProject,1
ClientPartial/ProjectDetail,1
StarredProject,1
expiration,1
Store,1
AdminPartial/MessageList,1
BackingInfo,1
api/ProjectApi/AdminGetUpdateLogList?code=code,1
SessionHelper.RenewCurrentUser();,1
\name="\newMessage"\>new\,1
date,1
\fb.Get("\/me?fields=id,name,gender,link,birthday,email,bio,website,location"\);\,1
update,1
\name="\username"\></param>\,1
DDLConstants.FileType.PROJECT);,1
AdminPartial/ProjectDetail,1
requests,1
api/ProjectApi/AdminGetDashboardInfo/,1
api/ProjectApi/ShowHideComment?id=,1
with,1
\name="\category"\></param>\,1
api/ProjectApi/GetUpdateLog/:id,1
api/CategoryApi/GetCategoriesForCreate,1
Post:,1
api/ProjectApi/EditReward,1
ClientPartial/EditProject,1
sent,1
api/ProjectApi/CreateTimeline/:id,1
in,1
can,1
dynamic,1
api/ProjectApi/GetProjectDetail?code=code,1
api/ProjectApi/AdminGetTopProjectList/,1
api/ProjectApi/AdminGetStatisticTable/,1
behalf,1
could,1
//,1
to,1
so,1
api/ProjectApi/DeleteTimeline/:id,1
api/ProjectApi/GetQuestion/:id,1
DeleteSlide,1
api/ProjectApi/GetTimeline/:id,1
api/ProjectApi/AdminGetListBacker/:code,1
api/ProjectApi/EditSingleQuestion,1
select,1
Messages,1
api/ProjectApi/DeleteQuestion/:id,1
userCurrent.ProfileImage;,1
api/UserApi/AdminGetRecentUser/,1
client,1
api/ProjectApi/DeleteRewardPkg/:id,1
Message,1
check,1
api/MessageApi/NewMessage,1
AdminPartial/ReportUser,1
api/ProjectApi/GetProject/:code,1
user's,1
Insert,1
List,1
AdminPartial/MessageDetail,1
api/ProjectApi/GetPendingProjectList/,1
AdminPartial/ProjectDashboard,1
api/ProjectApi/AdminGetProjectDetail/:code,1
admin,1
api/UserApi/AdminGetTopBacker/,1
me,1
api/ProjectApi/CreateUpdateLog,1
config,1
ClientPartial/CreateProject,1
api/ProjectApi/EditQuestion,1
,1
