Word,Count
8,565
8888,509
,292
-,88
`88,66
88,64
`88888,54
*,53
`8.`8888,53
the,41
`8,34
`8b,34
888888888888,32
Page,29
\,8'\,28
\,88'\,27
to,27
Styles,27
End,26
.8',25
`8.`888b,24
8888888888,24
888888888o,19
of,19
\,88\,19
----------------------------------------------------------,16
--,16
and,15
Bootstrap,14
888888888P',14
.8,14
},13
\,8P\,13
MIT,13
---------------------------------------------------------,12
8888888,12
by,12
background:,11
\,8\,11
`Y8888P,10
{,10
Y8,10
\,88P'\,10
for,10
8b,10
d888888o,10
8.`8888,10
;8.`8888,10
.`8888:',10
\,o888888o\,9
styles,9
1px,9
`8888888P',9
Copyright,8
#fff;,8
FIXME,8
.888,8
0px,8
this,8
Project,8
:88888,8
value,8
hardcoded,8
:-/,8
CSS,8
0;,8
with,8
originally,7
are,7
`,7
.888888888,7
OR,7
authored,7
Licensed,6
------------------------------------------,6
8888`8b,6
all,6
Inc,6
display:,6
***,6
THE,6
under,6
theme,6
30px;,6
line-height:,6
file,6
`Y8o,6
IE,6
.8`8,6
a,6
margin:,6
font-size:,6
100px;,6
DataTables,5
Helper,5
Isotope,5
Button,5
color:,5
icon,5
IN,5
Selectize,5
when,5
Awesome,5
Font,5
in,5
solid,5
Custom,5
position:,5
2011-2015,4
\0,\,4
add,4
used,4
0px;,4
v3.3.5,4
This,4
2px;,4
8px,4
#,4
text-shadow:,4
is,4
page,4
Select2,4
(https://github.com/twbs/bootstrap/blob/master/LICENSE),4
#000,4
|,4
up,4
Chart,4
`8.`,4
Source:,4
https://github.com/h5bp/html5-boilerplate/blob/master/src/css/main.css,4
`8.`8',4
video======,4
Nick,4
\Twitter,\,4
(http://getbootstrap.com),4
10px;,4
https://github.com/nickpettit/glide,4
Header,4
License,4
background-color:,4
Pettit,4
700ms;,4
or,4
opacity,4
----------------------------------------------,4
The,4
Fix,4
dashed;,4
OF,4
from,3
height:,3
License:,3
width,3
invalid,3
Handle,3
top,3
888888888P,3
`^888,3
that,3
min-width:,3
2015.10.01,3
2015,3
`8.`888',3
UI,3
#ddd,3
Flex,3
Mark,3
dropdown,3
Classes,3
11.10+,3
\Chrome10+,Safari5.1+\,3
b,3
8o,3
`Yo,3
Set,3
Search,3
2px,3
---------------------------------------------,3
Customization,3
padding:,3
html,3
responsive,3
bootstrap,3
`Y888888o,3
Information,3
class,3
`Y8o.`,3
8`Y8o,3
(c),3
Table,3
888o,3
automatically,3
direction,3
\Chrome,Safari4+\,3
`Y88888o8,3
transitions,3
`8.`888b8',3
IE8,3
FF3.6+,3
you,3
text,3
included,3
Rohit,3
block;,3
\,o88P'\,3
without,3
software,3
SOFTWARE,3
Angelo,3
fix,3
Opera,3
Padding,3
Date:,3
4.4.0,3
padding-bottom:,3
Y88888o,3
`Y8888,3
Description:,3
To,3
-----------------------------------------------------------,3
hidden;,3
Create,3
IE10+,3
https://github.com/angelorohit,3
Software,3
.`Y888888o,3
Animations,3
W3C,3
New,3
`Y8,3
border-top:,2
McNull,2
editor,2
libraries:,2
#828587;,2
Home,2
animation,2
(non-intensive),2
normalize.css,2
angular-block-ui,2
v2.2.2,2
OFL,2
14px;,2
anchor,2
@fontawesome,2
Flat,2
License),2
Use,2
(http://designmodo.github.io/Flat-UI/),2
Backing-Detail,2
border:,2
.portfolio-item,2
2013-2014,2
Footer,2
width:,2
Popup,2
z-index,2
effect,2
https://datatables.net/download/#dt/dt-1.10.9,2
work,2
color,2
icons,2
Tile,2
properties,2
want,2
should,2
button,2
position,2
combined,2
some,2
copies,2
width:100%;,2
div,2
block,2
padding,2
.toast-close-button{right:-.2em;top:-.2em}}@media,2
888888888P'.8`8,2
\,888\,2
it,2
-------------------------------------------------------------------,2
change,2
\Designmodo,\,2
Discover,2
Daniel,2
none!important;,2
These,2
Navigation,2
copy,2
SIL,2
will,2
created,2
default,2
Navbar,2
FLEX,2
Instead,2
\,8.`8888\,2
(null),2
comments,2
at,2
height:100%;,2
navbar,2
Widget,2
@davegandy,2
github.com/necolas/normalize.css,2
CSS3,2
ADMIN,2
end,2
modify,2
Additional,2
builder:,2
Included,2
rebuild,2
any,2
focus,2
customize,2
center;,2
Backed,2
#16a085;,2
none;,2
not,2
Porfolio,2
input,2
padding-top:,2
Scroll,2
styling,2
\rgba(0,\,2
latest,2
absolute;,2
2,2
.3s,2
v0.2.0,2
https://datatables.net/download,2
relative,2
ANY,2
show,2
notice,2
\,88'.8\,2
#d9d9de;,2
8-<,2
reponsive,2
so,2
text-align:,2
do,2
Responsive,2
Slider,2
Admin,2
\Created,\,2
following,2
top:0;,2
v3.0.3,2
item-category,2
1,2
Color,2
Glyphicon,2
\1.1,\,2
Common,2
OTHER,2
as,2
Account,2
FOR,2
Login,2
md,2
Statistic,2
margin-bottom:,2
18px;,2
1.10.9,2
downloader,2
ie7,2
Recommended,2
font-weight:,2
left:0;,2
15px,2
Details,2
opacity:,2
Back,2
Message,2
be,2
visit:,2
Text,2
http://fontawesome.io/license,2
List,2
font-family:,2
overflow:,2
background,2
`88888.`8,2
---------------------------------,2
on,2
-------------------------------------------,2
relative;,2
CSS:,2
requires,2
we,2
.`8888,2
Free,2
\Starred,\,2
versions,2
was,2
https://github.com/McNull/angular-block-ui,2
jQuery,2
Error,2
height,2
please,2
http://fontawesome.io,2
(Font:,2
-webkit-transition:,1
\FROM,\,1
like,1
menu,1
WYSIWYG,1
default!important;,1
3,1
infinite,1
.block-ui:not(body),1
ARISING,1
(handles,1
http://github.com/angular-ui/ui-select,1
avatar,1
\restriction,\,1
-moz-transition:,1
full,1
96px;,1
Design,1
Global,1
