Word,Count
=,178
new,32
{,30
+,26
\"\\,21
=>,17
to,15
CreatedDate,14
\true,\,14
\},\,14
Description,13
the,13
\DateTime.UtcNow,\,11
IsActive,11
of,11
in,10
and,10
that,9
},9
scelerisque,9
be,9
Aenean,9
ipsum,9
Title,8
var,8
\1,\,8
we,8
//,7
are,7
};,7
\false,\,6
vel,6
num,6
de,6
/>,6
é,6
ac,6
elementum,6
ut,6
elit,6
with,6
mé,6
UserInfo,6
turpis,6
quis,6
cursus,6
et,6
\amet,\,6
justo,6
leo,6
dolor,6
consectetur,6
dui,6
context.SaveChanges();,6
posuere,6
FullName,6
sit,6
a,6
<auto-generated,6
qui,6
nisi,6
cbcn,5
\Nam"\,\,5
Category,5
\"\"\,\,5
\nbcnbc"\,\,5
is,5
ImageUrl,5
u));,5
\"\abncbnbc\,5
Name,5
\"\Viet\,5
game,4
\0,\,4
because,4
ProjectID,4
real,4
or,4
\project.ProjectID,\,4
by,4
Original,4
\illo?"\,\,3
aguis,3
um,3
pindureta,3
password,3
e,3
Email,3
bolis,3
\optio,\,3
\"\Chỉnh\,3
\girarzis,\,3
\"\Pellentesque\,3
this,3
significa,3
\"\jdsbhjdsjhdvshjsvd\njkdsbdbkdsbdjkbkj\ndsbkjdsbkjbd"\,\,3
\molestie,\,3
tem,3
fermentis,3
sapiente,3
lectus,3
nibh,3
quium,3
amistosis,3
\Paisis,\,3
Velit,3
\"\Interagi\,3
\quis,\,3
Slide,3
Manduma,3
quem,3
divoltis,3
tempus,3
pra,3
elitis,3
FacebookUrl,3
DDL_User,3
\"\manhmaluc"\).DDL_UserID,\,3
encrypted,3
Person,3
volutpat,3
\mé,\,3
context.DDL_Users.Single(x,3
ce,3
\"\Mussum\,3
\"\Etiam\,3
Gender,3
\"\Lorem\,3
elementis,3
\cacilds,\,3
omnis,3
nội,3
Country,3
monti,3
\lupuliz,\,3
eu,3
x.Username,3
\a,\,3
aliquet,3
CommentContent,3
UserID,3
Comment,3
\vermeio,\,3
Nullam,3
non,3
\DDLConstants.Gender.MALE,\,3
praesentium,3
laudantium,3
Pharetra,3
\filhis,\,3
interdum,3
\"\Ut\,3
\erat,\,3
sửa,3
\porris,\,3
\x.Title,\,3
Lorem,3
\DDLConstants.LoginType.NORMAL,\,3
quisso,3
IsHide,3
distinctio,3
Username,3
litro,3
auctor,3
i,3
pulvinar,3
pareci,3
latim,3
\cevadiss,\,3
\gostis.\n"\\,3
dia,3
espiritis,3
\"\Interessantiss\,3
nois,3
DateOfBirth,3
no,3
Sapien,3
\"\Suco\,3
palavris,3
số,3
neque,3
animi,3
adipiscings,3
nadis,3
santis,3
pudia,3
\12,\,3
vehicula,3
ante,3
ButtonColor,3
eros,3
paradis,3
UpdateLog,3
\lectus,\,3
Consetis,3
==,3
mi,3
MD5,3
TextColor,3
\17,12,0,0),DateTimeKind.Utc),\,3
dung,3
LoginType,3
faiz,3
ullamcorper,3
\vitae,\,3
mais,3
\,\,3
Address,3
receita,3
//DDL_UserID,3
augue,3
velit,3
DateTime.SpecifyKind(new,3
iure,3
mattis,3
UserType,3
mauris,3
abertis,3
pellentesque,3
\bolis,\,3
Website,3
Order,3
ProfileImage,3
adipisicing,3
\matis,\,3
laoreet,3
\"\in\,3
\divinis,\,3
PhoneNumber,3
Biography,3
\massa."\,\,3
ButtonText,3
leite,3
Mé,3
adipiscing,3
lá,3
vidis,3
depois,3
Password,3
SlideUrl,3
\DateTime(1993,\,3
paga,3
IsVerify,3
\"\Pra\,3
turn-based,2
cooperative/competitive,2
movies,2
\Project"\,\,2
//context.SaveChanges();,2
significantly,2
community,2
\@"\The\,2
ourselves,2
\possibility),\,2
as,2
kinds,2
sequel,2
method,2
\development.<br/><br/>"\\,2
changed,2
Hoa,2
features,2
\"\btn-success"\,\,2
\"\An\,2
expected,2
integrate,2
seeking,2
now,2
\combat,\,2
affect,2
creating,2
multiplayer;,2
//context.Projects.AddOrUpdate(p,2
\DateTime.UtcNow.Date,\,2
Divinity:,2
more,2
aim,2
\2014."\,\,2
planning,2
time,2
Archive,2
\12345678,\,2
Game,2
Risk,2
\"\Divinity:\,2
things,2
move,2
Location,2
RPG,2
\Austin,\,2
\DateTime.UtcNow.Date.AddDays(30).AddHours(23).AddMinutes(59),\,2
might,2
\"\http://www.youtube.com/embed/jLHGnvnw-gI"\,\,2
on,2
through,2
roadblock,2
VideoUrl,2
it'll,2
certain,2
already,2
game's,2
IsExprired,2
\p.Title,\,2
we'll,2
\distribution."\,\,2
Sin,2
late,2
\"\0973838383"\\,2
Those,2
\"\If\,2
preserve,2
PopularPoint,2
Kickstarter,2
resources,2
AGFA,2
genre,2
taking,2
funding,2
GameSpot's,2
our,2
PC,2
that'll,2
Texas,2
Status,2
even,2
\fun."\,\,2
biggest,2
legacy,2
whole,2
List<Comment>,2
input,2
Film,2
feature,2
other,2
(or,2
\happens,\,2
some,2
CreatorID,2
finish,2
ProjectCode,2
than,2
innovative,2
up,2
funds,2
(a,2
ahead,2
\collection,\,2
\"\light"\\,2
CurrentFunded,2
\"\C213,\,2
an,2
CategoryID,2
located,2
\"\We're\,2
\happen,\,2
ended,2
SubDescription,2
release,2
\"\avatar_default.jpg"\,\,2
ExpireDate,2
Genre,2
they,2
FundingGoal,2
\Sin,\,2
American,2
feature-set,2
expanding,2
will,2
but,2
world,2
\"\View\,2
risks,2
hit,2
(AGFA),2
\conservation,\,2
make,2
\100000000,\,2
shouldn't,2
Project,2
\DDLConstants.UserType.USER,\,2
The,2
epic,2
\"\25d55ad283aa400af464c76d713c07ad"\,//\,2
exists,2
ability,2
cut),2
coming,2
\Lac"\,\,2
E.g,1
context.People.AddOrUpdate(,1
Power,1
\"\PRJ000001"\,\,1
\"\admin001@gmail.com"\,\,1
\p.FullName,\,1
listUser,1
civil,1
listProject.Add(project);,1
context.Categories.AddOrUpdate(x,1
\"\The\,1
project2);,1
context.Projects.AddOrUpdate(x,1
context.DDL_Users.AddOrUpdate(x,1
who,1
\"\Collaborate\,1
\ecosystem,\,1
Louis,1
Survival,1
carbon,1
data,1
\"\Andrew\,1
\Accoumt"\,\,1
listSlides.ForEach(u,1
\DDLConstants.ProjectStatus.DRAFT,\,1
architects,1
\"\Hung\,1
his,1
context.Comments.AddOrUpdate(c,1
\"\manhmaluc"\,\,1
context.Slides.AddOrUpdate(x,1
extension,1
\"\Brice\,1
movement,1
\"\admin001"\,\,1
\Miller"\\,1
List<UpdateLog>,1
reduce,1
updateLogList.ForEach(u,1
List<Project>();,1
\"\http://facebook.com/gatohy"\,\,1
\Game"\,\,1
\1941–1955"\,\,1
listProject,1
\"\http://dandeliondemo.azurewebsites.net/#/project/detail/PRJ000001"\,\,1
\DDLConstants.UserType.ADMIN,\,1
);,1
project2,1
\854821,\,1
\story."\,\,1
\"\http://dabdeliondemo.azurewebsites.net/#/project/detail/PRJ000001"\,\,1
listSlides,1
\Peters"\\,1
\"\ngocmanh1712@gmail.com"\,\,1
\decisions."\,\,1
\c.CommentContent,\,1
You,1
migrating,1
\"\http://dandeliondemo.azurewebsites.net/#/project/detail/PRJ000002"\,\,1
emissions,1
art,1
\Plant"\,\,1
-,1
can,1
\"\Âm\,1
\"\Lưu\,1
\DDLConstants.ProjectStatus.APPROVED,\,1
film,1
\"\test0001@gmail.com"\,\,1
\"\Administrator"\,\,1
\"\0973232734"\\,1
making,1
\1!"\,\,1
\"\img_PRJ000002.jpg"\,\,1
build,1
List<DDL_User>,1
updateLogList,1
\"\Rowan\,1
rights,1
\"\avatar_test0001.jpg"\,\,1
Ngọc,1
\Lambson"\\,1
laws,1
\"\slide_3.jpg"\,\,1
IsFunded,1
\"\Công\,1
\"\img_PRJ000001.jpg"\,\,1
listProject.ForEach(u,1
\Tranh"\,\,1
\jvsjgfgjfsj"\,\,1
\3,\,1
\"\Download"\,\,1
p,1
group,1
comment,1
seed,1
List<Slide>,1
\"\Trò\,1
listProject.Add(project2);,1
\Thuật"\,\,1
\"\slide_2.jpg"\,\,1
3,1
Help,1
tell,1
project);,1
simulated,1
version,1
\"\dark"\\,1
\3!"\,\,1
comment);,1
\"\Test\,1
\"\9a504921fa47cb96585ac19b3f143af9"\,//\,1
project,1
Comments,1
\Yen"\,\,1
\sky."\,\,1
//{,1
\Mạnh"\,\,1
\"\test0001"\,\,1
Cleanest,1
listUser.ForEach(u,1
listCategory.ForEach(u,1
\"\Nghệ\,1
\DateTime.Today,\,1
List<Category>,1
\2,\,1
called,1
context.UpdateLogs.AddOrUpdate(x,1
DbSet<T>.AddOrUpdate(),1
\"\Emmett\,1
Global,1
listCategory,1
civilization,1
\x.Username,\,1
latest,1
\x.Name,\,1
team,1
\Chơi"\,\,1
catalyzed,1
duplicate,1
\Nghệ"\,\,1
\"\Truyện\,1
avoid,1
helper,1
\"\PRJ000002"\,\,1
\2!"\,\,1
\Till,\,1
//},1
\"\slide_1.jpg"\,\,1
after,1
use,1
working,1
\"\Eco\,1
This,1
//Comments,1
\2"\,\,1
World’s,1
\"\Support\,1
murder,1
\Nhạc"\,\,1
\"\btn-primary"\,\,1
\"\is\,1
