File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\Backing.cs,27,24,17,0,3,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\BackingDetail.cs,31,28,21,0,3,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\Category.cs,21,17,11,0,4,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\Comment.cs,29,25,17,0,4,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\Conversation.cs,84,30,18,0,15,0,39,122,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DDL_User.cs,113,39,29,0,18,0,56,217,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\Message.cs,46,22,14,0,9,0,15,46,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\Project.cs,80,49,38,0,10,0,21,60,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\Question.cs,21,18,12,0,3,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\Remind.cs,24,20,12,0,4,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\ReportProject.cs,60,28,17,0,11,0,21,60,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\ReportUser.cs,69,30,17,0,12,0,27,74,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\RewardPkg.cs,45,25,17,0,7,0,13,34,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\Slide.cs,27,24,18,0,3,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\Timeline.cs,22,19,13,0,3,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\UpdateLog.cs,21,18,12,0,3,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\UserInfo.cs,85,29,20,0,14,0,42,126,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\AdminBackingListDTO.cs,27,25,21,0,2,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\AdminBakingFullInforDTO.cs,32,25,21,0,7,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\AdminCategoryDTO.cs,17,15,11,0,2,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\AdminDashboardInfoDTO.cs,25,24,20,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\AdminProjectGeneralInfoDTO.cs,17,16,12,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\AdminProjectStatisticDTO.cs,22,20,14,0,2,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\AdminUserBackedListDTO.cs,17,16,12,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\AdminUserBackingDetailDTO.cs,26,22,18,0,4,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\AdminUserCreatedListDTO.cs,20,19,15,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\AdminUserDashboardDTO.cs,62,57,45,0,5,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Models\DTOs\AdminUserListDTO.cs,29,26,20,0,3,0,0,0,0,0
