File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\_ViewStart.cshtml,4,3,2,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\AdminPartial\_BackingDetail.cshtml,57,55,26,0,2,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\AdminPartial\_BackingList.cshtml,138,134,28,0,4,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\AdminPartial\_Category.cshtml,227,225,15,0,2,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\AdminPartial\_Dashboard.cshtml,447,446,66,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\AdminPartial\_ReportProject.cshtml,141,133,24,0,8,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\AdminPartial\_ReportUser.cshtml,124,120,22,0,4,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\AdminPartial\_Slide.cshtml,378,370,10,0,8,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\AdminPartial\Error\_Error.cshtml,17,16,0,0,1,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\AdminPartial\Error\_NotFound.cshtml,17,17,0,0,0,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\AdminPartial\Message\_MessageDetail.cshtml,94,88,10,0,6,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\AdminPartial\Message\_MessageList.cshtml,164,158,16,0,6,0,0,0,0,0
D:\2015FALLJS01\WIP\Sources\DDL_CapstoneProject\DDL_CapstoneProject\Views\AdminPartial\Project\_ProjectDashboard.cshtml,191,186,28,0,5,0,0,0,0,0
