Word,Count
*,29
@param,11
BaoKim.vn,8
mã,7
về,7
hóa,6
thông,5
hàng,5
tin,5
merchant,5
trả,5
site,5
thanh,5
đơn,5
,4
tạo,4
url,4
thực,4
Mã,4
bằng,4
trên,4
của,4
xác,4
chính,4
số,4
toán,4
bạn,4
tham,4
để,3
@return,3
string,3
ký,3
chuyển,3
các,3
Hàm,3
đăng,3
mật,3
khẩu,3
từ,3
với,3
/,3
Url,3
hiện,3
baokim.vn,3
=,3
trong,2
nếu,2
-,2
có,2
khi,2
This,2
gửi,2
là,2
tính,2
Sắp,2
tiếp,2
includes,2
việc,2
cho,2
key,2
URL,2
checksum,2
constants,2
giữa,2
dựng,2
đã,2
xếp,2
website,2
theo,2
giao,2
Thay,2
//Thay,2
private,2
class,2
API,1
tiết,1
vận,1
bảo,1
Login,1
$url_cancel,1
trị,1
Xây,1
(còn,1
đó,1
minh,1
address,1
qua,1
hành,1
cần,1
bản:,1
system,1
type,1
$tax_fee,1
of,1
var,1
$url_success,1
kết,1
\sum,\,1
key),1
tài,1
chứa,1
GMT+7,1
\toán,\,1
hợp,1
$url_detail,1
$business,1
mảng,1
$order_description,1
$total_amount,1
xây,1
bán,1
tả,1
Chức,1
checkout,1
Xác,1
$shipping_fee,1
\xác,\,1
$order_id,1
Mô,1
quả,1
dẫn,1
gốc,1
Phí,1
Tên,1
server,1
Exception,1
xâu,1
DDL,1
here…,1
đến,1
messages,1
functions,1
đường,1
không,1
chi,1
secure_pass,1
tới,1
redirect,1
</summary>,1
true,1
tử,1
Tạo,1
gọi,1
xử,1
sánh,1
Email,1
public,1
năng:,1
\"\20033"\;\,1
$_GET,1
phần,1
<summary>,1
lớp:,1
smtp,1
tiến,1
người,1
Mật,1
false,1
Phiên,1
so,1
hủy,1
khóa,1
\"\b6eb222debf4bdc0"\;\,1
\hóa,\,1
Tích,1
@throws,1
BaoKimPayment,1
Thuế,1
merchant_id,1
check,1
khoản,1
0.1,1
Giá,1
công,1
TimeZoneInfo.FindSystemTimeZoneById(DDLConstants.TimeZoneId);,1
thành,1
cetZone,1
lý,1
common,1
được,1
