Word,Count
/,236
=,74
project,52
Get,50
<summary>,49
</summary>,49
<param,41
{,27
new,26
a,21
Create,20
Check,19
list,18
Count,18
==,18
},18
in,15
to,15
of,15
Caculate,14
-,14
rewardPkg,13
if,13
=>,12
var,12
exist,12
for,11
Edit,11
user,11
<returns></returns>,10
conversation,9
DB,8
total,8
MaiCTP,8
admin,8
backing,7
Delete,7
day,7
<returns>boolean</returns>,7
};,7
status,6
comment,6
number,6
Save,6
foreach,6
else,6
funded,6
Set,5
(var,5
\name="\ProjectID"\></param>\,5
Change,5
&&,5
is,5
message,5
data,5
(backed.Project.Status,4
exprire,4
:,4
profit,4
delete,4
updateLog,4
datetime,4
Convert,4
Add,4
fail,4
timeline,4
projectReturn.Isfunded,4
creator,4
rank,4
category,4
Send,3
statistic,3
GET:,3
code,3
live,3
point,3
pledgedOn,3
public,3
current,3
detail,3
,3
succeed,3
\name="\userName"\></param>\,3
(backed.Project.IsFunded,3
from,3
created,3
!=,3
5,3
\name="\id"\></param>\,3
<returns>newRewardPkg</returns>,3
all,3
query,3
projectReturn.Status,3
record,3
Status,3
table,3
false,3
by,3
projects,3
story,2
rewards,2
userReturn.LoginType,2
18/10/2015,2
\name="\question"\></param>\,2
<returns>rewardList</returns>,2
\name="\backingId"\></param>\,2
single,2
<returns>updateLogDTO</returns>,2
listReturn.Add(backingReturn);,2
backed.Project.IsExprired,2
db.DDL_Users.FirstOrDefault(x,2
backingReturn,2
AdminUserCreatedListDTO,2
Project,2
<returns>project</returns>,2
date,2
DbContext,2
\name="\project"\></param>\,2
true),2
create,2
email,2
GMT+7,2
<returns>bool</returns>,2
PledgeAmount,2
Map,2
top,2
db.Backings.ToList();,2
listBacking,2
information,2
reward,2
gmt+7,2
Select,2
return,2
projectReturn,2
User,2
line,2
each,2
owner,2
name,2
DTO,2
QA,2
pending,2
viewstate,2
UserName,2
\name="\projectCode"\></param>\,2
\name="\updateLog"\></param>\,2
Email,2
question,2
account,2
backingDetail,2
AdminBackingListDTO,2
Generate,2
dB,2
api/Category,2
This,2
ProjectTitle,2
listBacking),2
receiver,2
PhoneNumber,2
update,2
AdminBakingFullInforDTO,2
AdminUserBackedListDTO,2
